0 -3.6156 15.518 -3.6156
0.08 -52.3604 -33.2818 -52.3604
0.16 -3.40301 15.5607 -3.40301
0.24 -3.54956 15.1807 -3.54956
0.32 -3.4682 14.8816 -3.4682
0.4 -3.3909 14.379 -3.3909
0.48 -3.35794 13.5501 -3.35794
0.56 -3.40361 12.2389 -3.40361
0.64 -3.5358 10.2727 -3.5358
0.72 -3.66115 7.55888 -3.66115
0.8 -3.48914 4.25942 -3.48914
0.88 -2.54505 0.92117 -2.54505
0.96 -0.46327 -1.7084 -0.46327
1.04 2.60015 -3.19215 2.60015
1.12 5.97462 -3.6917 5.97462
1.2 8.96091 -3.69474 8.96091
1.28 11.2089 -3.60775 11.2089
1.36 12.7097 -3.61706 12.7097
1.44 13.6182 -3.75273 13.6182
1.52 14.1164 -3.97856 14.1164
1.6 14.3558 -4.2435 14.3558
1.68 14.4467 -4.50105 14.4467
1.76 14.4644 -4.71398 14.4644
1.84 14.4581 -4.85462 14.4581
1.92 14.4569 -4.90469 14.4569
2 14.4733 -4.85581 14.4733
2.08 14.5037 -4.71012 14.5037
2.16 14.5272 -4.48077 14.5272
2.24 14.5021 -4.19229 14.5021
2.32 14.3599 -3.88089 14.3599
2.4 13.998 -3.59408 13.998
2.48 13.2728 -3.38682 13.2728
2.56 12.004 -3.30746 12.004
2.64 10.0136 -3.35895 10.0136
2.72 7.23614 -3.42123 7.23614
2.8 3.8983 -3.16594 3.8983
2.88 0.609654 -2.11013 0.609654
2.96 -1.89681 0.0504264 -1.89681
3.04 -3.2721 3.08187 -3.2721
3.12 -3.73037 6.32328 -3.73037
3.2 -3.72735 9.16539 -3.72735
3.28 -3.61042 11.3388 -3.61042
3.36 -3.53822 12.8563 -3.53822
3.44 -3.55683 13.841 -3.55683
3.52 -3.6618 14.4279 -3.6618
3.6 -3.80909 14.7511 -3.80909
3.68 -3.94159 14.9301 -3.94159
3.76 -4.05678 15.0103 -4.05678
3.84 -4.18014 14.9884 -4.18014
3.92 -58.7367 -39.5539 -58.7367
